Handle,Title,Body (HTML),Vendor,Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty
twessie-na-op-0101,Minimalist Crinkled Seersucker One-Piece,<p>A statement piece in Crinkled Seersucker. This one-piece combines anti-fashion statement design with impeccable craftsmanship. Available in Chalk White with Stone Gray detailing. Not loud. Not obvious. Unmistakably Twessie.</p>,Twessie,One-Piece,"Crinkled Seersucker bikini, minimalist luxury, minimalist one-piece, high-end swimwear, luxury Chalk White swimwear",TRUE,Color,Chalk White,Size,XS,TWESSIE_NA_OP_0101-Chalk White-XS,168.0,,10
twessie-na-op-0101,Minimalist Crinkled Seersucker One-Piece,<p>A statement piece in Crinkled Seersucker. This one-piece combines anti-fashion statement design with impeccable craftsmanship. Available in Chalk White with Stone Gray detailing. Not loud. Not obvious. Unmistakably Twessie.</p>,Twessie,One-Piece,"Crinkled Seersucker bikini, minimalist luxury, minimalist one-piece, high-end swimwear, luxury Chalk White swimwear",TRUE,Color,Chalk White,Size,S,TWESSIE_NA_OP_0101-Chalk White-S,168.0,,10
twessie-na-op-0101,Minimalist Crinkled Seersucker One-Piece,<p>A statement piece in Crinkled Seersucker. This one-piece combines anti-fashion statement design with impeccable craftsmanship. Available in Chalk White with Stone Gray detailing. Not loud. Not obvious. Unmistakably Twessie.</p>,Twessie,One-Piece,"Crinkled Seersucker bikini, minimalist luxury, minimalist one-piece, high-end swimwear, luxury Chalk White swimwear",TRUE,Color,Chalk White,Size,M,TWESSIE_NA_OP_0101-Chalk White-M,168.0,,10
twessie-na-op-0101,Minimalist Crinkled Seersucker One-Piece,<p>A statement piece in Crinkled Seersucker. This one-piece combines anti-fashion statement design with impeccable craftsmanship. Available in Chalk White with Stone Gray detailing. Not loud. Not obvious. Unmistakably Twessie.</p>,Twessie,One-Piece,"Crinkled Seersucker bikini, minimalist luxury, minimalist one-piece, high-end swimwear, luxury Chalk White swimwear",TRUE,Color,Chalk White,Size,L,TWESSIE_NA_OP_0101-Chalk White-L,168.0,,10
twessie-na-op-0101,Minimalist Crinkled Seersucker One-Piece,<p>A statement piece in Crinkled Seersucker. This one-piece combines anti-fashion statement design with impeccable craftsmanship. Available in Chalk White with Stone Gray detailing. Not loud. Not obvious. Unmistakably Twessie.</p>,Twessie,One-Piece,"Crinkled Seersucker bikini, minimalist luxury, minimalist one-piece, high-end swimwear, luxury Chalk White swimwear",TRUE,Color,Chalk White,Size,XL,TWESSIE_NA_OP_0101-Chalk White-XL,168.0,,10
twessie-na-op-0101,Minimalist Crinkled Seersucker One-Piece,<p>A statement piece in Crinkled Seersucker. This one-piece combines anti-fashion statement design with impeccable craftsmanship. Available in Chalk White with Stone Gray detailing. Not loud. Not obvious. Unmistakably Twessie.</p>,Twessie,One-Piece,"Crinkled Seersucker bikini, minimalist luxury, minimalist one-piece, high-end swimwear, luxury Chalk White swimwear",TRUE,Color,Chalk White,Size,XXL,TWESSIE_NA_OP_0101-Chalk White-XXL,168.0,,10
twessie-na-op-0101,Minimalist Crinkled Seersucker One-Piece,<p>A statement piece in Crinkled Seersucker. This one-piece combines anti-fashion statement design with impeccable craftsmanship. Available in Chalk White with Stone Gray detailing. Not loud. Not obvious. Unmistakably Twessie.</p>,Twessie,One-Piece,"Crinkled Seersucker bikini, minimalist luxury, minimalist one-piece, high-end swimwear, luxury Chalk White swimwear",TRUE,Color,Stone Gray,Size,XS,TWESSIE_NA_OP_0101-Stone Gray-XS,168.0,,10
twessie-na-op-0101,Minimalist Crinkled Seersucker One-Piece,<p>A statement piece in Crinkled Seersucker. This one-piece combines anti-fashion statement design with impeccable craftsmanship. Available in Chalk White with Stone Gray detailing. Not loud. Not obvious. Unmistakably Twessie.</p>,Twessie,One-Piece,"Crinkled Seersucker bikini, minimalist luxury, minimalist one-piece, high-end swimwear, luxury Chalk White swimwear",TRUE,Color,Stone Gray,Size,S,TWESSIE_NA_OP_0101-Stone Gray-S,168.0,,10
twessie-na-op-0101,Minimalist Crinkled Seersucker One-Piece,<p>A statement piece in Crinkled Seersucker. This one-piece combines anti-fashion statement design with impeccable craftsmanship. Available in Chalk White with Stone Gray detailing. Not loud. Not obvious. Unmistakably Twessie.</p>,Twessie,One-Piece,"Crinkled Seersucker bikini, minimalist luxury, minimalist one-piece, high-end swimwear, luxury Chalk White swimwear",TRUE,Color,Stone Gray,Size,M,TWESSIE_NA_OP_0101-Stone Gray-M,168.0,,10
twessie-na-op-0101,Minimalist Crinkled Seersucker One-Piece,<p>A statement piece in Crinkled Seersucker. This one-piece combines anti-fashion statement design with impeccable craftsmanship. Available in Chalk White with Stone Gray detailing. Not loud. Not obvious. Unmistakably Twessie.</p>,Twessie,One-Piece,"Crinkled Seersucker bikini, minimalist luxury, minimalist one-piece, high-end swimwear, luxury Chalk White swimwear",TRUE,Color,Stone Gray,Size,L,TWESSIE_NA_OP_0101-Stone Gray-L,168.0,,10
twessie-na-op-0101,Minimalist Crinkled Seersucker One-Piece,<p>A statement piece in Crinkled Seersucker. This one-piece combines anti-fashion statement design with impeccable craftsmanship. Available in Chalk White with Stone Gray detailing. Not loud. Not obvious. Unmistakably Twessie.</p>,Twessie,One-Piece,"Crinkled Seersucker bikini, minimalist luxury, minimalist one-piece, high-end swimwear, luxury Chalk White swimwear",TRUE,Color,Stone Gray,Size,XL,TWESSIE_NA_OP_0101-Stone Gray-XL,168.0,,10
twessie-na-op-0101,Minimalist Crinkled Seersucker One-Piece,<p>A statement piece in Crinkled Seersucker. This one-piece combines anti-fashion statement design with impeccable craftsmanship. Available in Chalk White with Stone Gray detailing. Not loud. Not obvious. Unmistakably Twessie.</p>,Twessie,One-Piece,"Crinkled Seersucker bikini, minimalist luxury, minimalist one-piece, high-end swimwear, luxury Chalk White swimwear",TRUE,Color,Stone Gray,Size,XXL,TWESSIE_NA_OP_0101-Stone Gray-XXL,168.0,,10
twessie-au-bt-0102,Matte Ribbed Knit High-Waist Bikini Top in Burnt Terracotta,<p>A statement piece in Matte Ribbed Knit. This bikini top combines anti-fashion statement design with impeccable craftsmanship. Available in Burnt Terracotta with Olive Drab detailing. Not loud. Not obvious. Unmistakably Twessie.</p>,Twessie,Bikini Top,"minimalist luxury, minimalist bikini top, high-end swimwear, independent fashion, luxury Burnt Terracotta swimwear",TRUE,Color,Burnt Terracotta,Size,XS,TWESSIE_AU_BT_0102-Burnt Terracotta-XS,168.0,,10
twessie-au-bt-0102,Matte Ribbed Knit High-Waist Bikini Top in Burnt Terracotta,<p>A statement piece in Matte Ribbed Knit. This bikini top combines anti-fashion statement design with impeccable craftsmanship. Available in Burnt Terracotta with Olive Drab detailing. Not loud. Not obvious. Unmistakably Twessie.</p>,Twessie,Bikini Top,"minimalist luxury, minimalist bikini top, high-end swimwear, independent fashion, luxury Burnt Terracotta swimwear",TRUE,Color,Burnt Terracotta,Size,S,TWESSIE_AU_BT_0102-Burnt Terracotta-S,168.0,,10
twessie-au-bt-0102,Matte Ribbed Knit High-Waist Bikini Top in Burnt Terracotta,<p>A statement piece in Matte Ribbed Knit. This bikini top combines anti-fashion statement design with impeccable craftsmanship. Available in Burnt Terracotta with Olive Drab detailing. Not loud. Not obvious. Unmistakably Twessie.</p>,Twessie,Bikini Top,"minimalist luxury, minimalist bikini top, high-end swimwear, independent fashion, luxury Burnt Terracotta swimwear",TRUE,Color,Burnt Terracotta,Size,M,TWESSIE_AU_BT_0102-Burnt Terracotta-M,168.0,,10
twessie-au-bt-0102,Matte Ribbed Knit High-Waist Bikini Top in Burnt Terracotta,<p>A statement piece in Matte Ribbed Knit. This bikini top combines anti-fashion statement design with impeccable craftsmanship. Available in Burnt Terracotta with Olive Drab detailing. Not loud. Not obvious. Unmistakably Twessie.</p>,Twessie,Bikini Top,"minimalist luxury, minimalist bikini top, high-end swimwear, independent fashion, luxury Burnt Terracotta swimwear",TRUE,Color,Burnt Terracotta,Size,L,TWESSIE_AU_BT_0102-Burnt Terracotta-L,168.0,,10
twessie-au-bt-0102,Matte Ribbed Knit High-Waist Bikini Top in Burnt Terracotta,<p>A statement piece in Matte Ribbed Knit. This bikini top combines anti-fashion statement design with impeccable craftsmanship. Available in Burnt Terracotta with Olive Drab detailing. Not loud. Not obvious. Unmistakably Twessie.</p>,Twessie,Bikini Top,"minimalist luxury, minimalist bikini top, high-end swimwear, independent fashion, luxury Burnt Terracotta swimwear",TRUE,Color,Burnt Terracotta,Size,XL,TWESSIE_AU_BT_0102-Burnt Terracotta-XL,168.0,,10
twessie-au-bt-0102,Matte Ribbed Knit High-Waist Bikini Top in Burnt Terracotta,<p>A statement piece in Matte Ribbed Knit. This bikini top combines anti-fashion statement design with impeccable craftsmanship. Available in Burnt Terracotta with Olive Drab detailing. Not loud. Not obvious. Unmistakably Twessie.</p>,Twessie,Bikini Top,"minimalist luxury, minimalist bikini top, high-end swimwear, independent fashion, luxury Burnt Terracotta swimwear",TRUE,Color,Burnt Terracotta,Size,XXL,TWESSIE_AU_BT_0102-Burnt Terracotta-XXL,168.0,,10
twessie-au-bt-0102,Matte Ribbed Knit High-Waist Bikini Top in Burnt Terracotta,<p>A statement piece in Matte Ribbed Knit. This bikini top combines anti-fashion statement design with impeccable craftsmanship. Available in Burnt Terracotta with Olive Drab detailing. Not loud. Not obvious. Unmistakably Twessie.</p>,Twessie,Bikini Top,"minimalist luxury, minimalist bikini top, high-end swimwear, independent fashion, luxury Burnt Terracotta swimwear",TRUE,Color,Olive Drab,Size,XS,TWESSIE_AU_BT_0102-Olive Drab-XS,168.0,,10
twessie-au-bt-0102,Matte Ribbed Knit High-Waist Bikini Top in Burnt Terracotta,<p>A statement piece in Matte Ribbed Knit. This bikini top combines anti-fashion statement design with impeccable craftsmanship. Available in Burnt Terracotta with Olive Drab detailing. Not loud. Not obvious. Unmistakably Twessie.</p>,Twessie,Bikini Top,"minimalist luxury, minimalist bikini top, high-end swimwear, independent fashion, luxury Burnt Terracotta swimwear",TRUE,Color,Olive Drab,Size,S,TWESSIE_AU_BT_0102-Olive Drab-S,168.0,,10
twessie-au-bt-0102,Matte Ribbed Knit High-Waist Bikini Top in Burnt Terracotta,<p>A statement piece in Matte Ribbed Knit. This bikini top combines anti-fashion statement design with impeccable craftsmanship. Available in Burnt Terracotta with Olive Drab detailing. Not loud. Not obvious. Unmistakably Twessie.</p>,Twessie,Bikini Top,"minimalist luxury, minimalist bikini top, high-end swimwear, independent fashion, luxury Burnt Terracotta swimwear",TRUE,Color,Olive Drab,Size,M,TWESSIE_AU_BT_0102-Olive Drab-M,168.0,,10
twessie-au-bt-0102,Matte Ribbed Knit High-Waist Bikini Top in Burnt Terracotta,<p>A statement piece in Matte Ribbed Knit. This bikini top combines anti-fashion statement design with impeccable craftsmanship. Available in Burnt Terracotta with Olive Drab detailing. Not loud. Not obvious. Unmistakably Twessie.</p>,Twessie,Bikini Top,"minimalist luxury, minimalist bikini top, high-end swimwear, independent fashion, luxury Burnt Terracotta swimwear",TRUE,Color,Olive Drab,Size,L,TWESSIE_AU_BT_0102-Olive Drab-L,168.0,,10
twessie-au-bt-0102,Matte Ribbed Knit High-Waist Bikini Top in Burnt Terracotta,<p>A statement piece in Matte Ribbed Knit. This bikini top combines anti-fashion statement design with impeccable craftsmanship. Available in Burnt Terracotta with Olive Drab detailing. Not loud. Not obvious. Unmistakably Twessie.</p>,Twessie,Bikini Top,"minimalist luxury, minimalist bikini top, high-end swimwear, independent fashion, luxury Burnt Terracotta swimwear",TRUE,Color,Olive Drab,Size,XL,TWESSIE_AU_BT_0102-Olive Drab-XL,168.0,,10
twessie-au-bt-0102,Matte Ribbed Knit High-Waist Bikini Top in Burnt Terracotta,<p>A statement piece in Matte Ribbed Knit. This bikini top combines anti-fashion statement design with impeccable craftsmanship. Available in Burnt Terracotta with Olive Drab detailing. Not loud. Not obvious. Unmistakably Twessie.</p>,Twessie,Bikini Top,"minimalist luxury, minimalist bikini top, high-end swimwear, independent fashion, luxury Burnt Terracotta swimwear",TRUE,Color,Olive Drab,Size,XXL,TWESSIE_AU_BT_0102-Olive Drab-XXL,168.0,,10
twessie-eu-op-0103,Minimalist Matte Ribbed Knit One-Piece,<p>Crafted in premium Matte Ribbed Knit with Econyl Sleek Satin accents. This one-piece epitomizes minimalist luxury luxury. Featuring color-blocking in Olive Drab and Burnt Terracotta. Perfect for the discerning swimmer who refuses the obvious.</p>,Twessie,One-Piece,"high-end swimwear, minimalist one-piece, minimalist luxury, architectural swimsuit, luxury Olive Drab swimwear",TRUE,Color,Olive Drab,Size,XS,TWESSIE_EU_OP_0103-Olive Drab-XS,168.0,,10
twessie-eu-op-0103,Minimalist Matte Ribbed Knit One-Piece,<p>Crafted in premium Matte Ribbed Knit with Econyl Sleek Satin accents. This one-piece epitomizes minimalist luxury luxury. Featuring color-blocking in Olive Drab and Burnt Terracotta. Perfect for the discerning swimmer who refuses the obvious.</p>,Twessie,One-Piece,"high-end swimwear, minimalist one-piece, minimalist luxury, architectural swimsuit, luxury Olive Drab swimwear",TRUE,Color,Olive Drab,Size,S,TWESSIE_EU_OP_0103-Olive Drab-S,168.0,,10
twessie-eu-op-0103,Minimalist Matte Ribbed Knit One-Piece,<p>Crafted in premium Matte Ribbed Knit with Econyl Sleek Satin accents. This one-piece epitomizes minimalist luxury luxury. Featuring color-blocking in Olive Drab and Burnt Terracotta. Perfect for the discerning swimmer who refuses the obvious.</p>,Twessie,One-Piece,"high-end swimwear, minimalist one-piece, minimalist luxury, architectural swimsuit, luxury Olive Drab swimwear",TRUE,Color,Olive Drab,Size,M,TWESSIE_EU_OP_0103-Olive Drab-M,168.0,,10
twessie-eu-op-0103,Minimalist Matte Ribbed Knit One-Piece,<p>Crafted in premium Matte Ribbed Knit with Econyl Sleek Satin accents. This one-piece epitomizes minimalist luxury luxury. Featuring color-blocking in Olive Drab and Burnt Terracotta. Perfect for the discerning swimmer who refuses the obvious.</p>,Twessie,One-Piece,"high-end swimwear, minimalist one-piece, minimalist luxury, architectural swimsuit, luxury Olive Drab swimwear",TRUE,Color,Olive Drab,Size,L,TWESSIE_EU_OP_0103-Olive Drab-L,168.0,,10
